da 'grigs song /|That’s enough now.\nsee also {da yin na 'grigs song /}
ji ltar|how (adverbial, literary)\nFor the colloquial form, see {ga 'dras se}
ga 'dras se|how (adverbial, colloquial)\nFor the literary form, see {ji ltar}
rol|to enjoy\ne.g. {zhogs zas la rol/} “they enjoyed breakfast”
grub|to complete\ne.g. {zhogs zas grub rjes} “after breakfast was over…”
rgyab skyor zhu|to support\ne.g. {a ma lags kyi bka' mol la rgyab skyor zhus/} “They supported their mother’s words.”
'khrug cha|hustle and bustle
'khrug cha dod po|bustling, busy
sngo tshal pa lag|spinach
sha mdangs|complexion
pad tshal|Napa cabbage
rus tshigs|joint (of the body)
'jong dbyibs|oblong-shaped
gung la phug|carrot
sran ljang|green peas
mdzub tshal|okra, a.k.a. lady’s finger
khrag shed snyom pa|to regulate blood pressure
snyom|to make even, to make balanced.\ne.g. {khrag shed snyom pa} to regulate blood pressure.\ncf. {stangs 'dzin byed}
bcas|indicates the end of a list; implies that the list is exhaustive.\nSee also {sogs}.
sogs|indicates the end of a list; implies that the list is non-exhaustive.\nSee also {bcas}.
zug gzer|pain.\nSee also {na zug}
na zug|pain.\nSee also {zug gzer}
'joms|to defeat, to subdue.\ne.g. {zug gzer 'joms pa} to subdue pain
do lum ma|eggplant, a.k.a. brinjal, aubergine
khrag shed|blood pressure. (This seems like the most common word for it.)\nsee also {khrag tshad}
khrag tshad|blood pressure(?)\nsee also {khrag shed}
spyod pa yag po|well-behaved
rig pa yag po|intelligent
rig pa|intellect, mind.\ne.g. {rig pa yag po} intelligent (lit. “good intellect”)\ne.g. {rig pa can} clever (lit. “having intelligence”)\ne.g. {rig pa sgrim} to concentrate, to pay attention (lit. “to tighten the intellect”)\nIn parts of Eastern Tibet, this is the basic verb for “to see”, instead of {mthong}.
tshon khra gtong|to paint with many colours (?)
lhu sgrig rtsed mo|“assembly toys”, perhaps referring to Lego or toy models?
ya rgyag|ignore (?)
ma shes pa|something that you don’t understand (in the context of learning, people often ask {ma shes pa yod pas/} “Is there anything you don’t understand?”)
dogs pa yod pa|something that you have uncertainty or doubt about
tshig phyug po|having a large vocabulary (lit. “rich in words”)
dag cha nges po|good at spelling (lit. “certain in spelling”)
klog bzang po|good at reading
go rtogs yag po|having good comprehension
rtsom 'bri|to write (stories etc.)\n{rtsom} = a composition
lo tshad la dpag pa|?
gnas don|topic, matter
khang tshan|community(?)\n(in the source I’m using, it’s used to describe the community of a schoolgirl, not a monastic)
sgom rgyag|to meditate
rtsod pa rtsod|to debate
dri ba 'dri|to ask ({phal skad})\nfor the {zhe sa} form, see {bka' 'dri zhu}.
bka' 'dri zhu|to ask ({zhe sa})\nfor the {phal skad} form, see {dri ba 'dri}.
don dag yag po|correct in meaning (?)
rkang 'khor gtong|to ride a bicycle
yod tsad|all (literary)\nsee also {kun}, {thams cad}, {yod do cog}, {tshang ma}, {tshang ma log}, {cha tshang}, {gang ga}, {gang ga log}, {gang yod}, {ji yod}
kun|all (literary)\nsee also {yod tshad}, {thams cad}, {yod do cog}, {tshang ma}, {tshang ma log}, {cha tshang}, {gang ga}, {gang ga log}, {gang yod}, {ji yod}
