ཀ་ཁ་|alphabet
དམུས་ལོང་དཀོན་པ་བཀྲ་|(PN) Dmus-loṅ-dkon-pa-bkra
དམོད་|prayer
དམྱལ་བ་|hell
རྨི་|(TR) to dream; སྙམ་རྨི་ to dream\nv1 རྨི་ v2 རྨིས་ v3 རྨི་ v4 རྨི་
རྨིས་|see རྨི་
རྨི་ལམ་|dream
རྨུ་ཐག་|རྨུ་-rope
རྨོ་|(TR) to sow and plough\nv1 རྨོ་ v2 རྨོས་ v3 རྨོ་ v4 རྨོས་
རྨོས་|see རྨོ་
རྨོས་|see རྨོ་
རྨོང་|(INTR) to get confused\nv1 རྨོང་ v2 རྨོངས་ v3 རྨོང་ v4 རྨོང་
རྨོངས་|see རྨོང་
རྨོངས་|see རྨོང་
རྨོངས་པ་|(N) ignorant
རྨོས་|see རྨོ་
སྨན་|medicine, herb
སྨན་པ་|physician
སྨིན་|ripe
སྨོན་|(TR) to desire (+ DAT)
སྨྱུ་གུ་|reed-pen
སྨྱུག་མ་|reed
སྨྲ་|(TR) to speak; to say\nv1 སྨྲ་ v2 སྨྲས་ v3 སྨྲས་ v4 སྨྲོས་
སྨྲས་|see སྨྲ་
སྨྲས་|see སྨྲ་
སྨྲོས་|see སྨྲ་
སྨྲས་|see སྨྲ་
སྨྲེ་སྔགས་|lamentation
སྨྲོས་|see སྨྲ་

ཙམ་|(DET) mere, only; as much as, about
ཙམ་དུ་|1) as if, like; 2) like that
ཙོང་ཁ་|(PN) Coṅ-kha, historical region east of the Kokonor Lake
ཙོང་ཁ་པ་|(PN) Coṅ-kha-pa, a renown Tibetan Buddhist teacher
གཙང་མ་|clean
གཙུག་|crown of the head
གཙེ་|(TR) to harm, to torment\nv1 གཙེ་ v2 གཙེས་ v3 གཙེ་ v4 གཙེ་
གཙེས་|see གཙེ་
གཙེས་|see གཙེ་
གཙོ་བོ་|the best, eminent one
བཙན་|(PN) Bcan, name of a Tibetan dynasty
བཙན་ཐང་གོང་མ་|(PN) Bcan-thaṅ-goṅ-ma, name of a plain
བཙན་པོ་|emperor in the Tibetan Empire
བཙའ་|(INTR) to bring forth\nv1 བཙའ་ v2 བཙས་ v3 བཙའ་ v4 བཙའ་
བཙས་|see བཙའ་
བཙལ་|see འཚོལ་
བཙས་|see བཙའ་
བཙུན་པ་|respectable, noble
བཙུན་མོ་|queen
བཙོན་|prisoner
བཙོན་ར་|prison
བཙོས་|see འཚོད་
རྩ་|1) foot (of a mountain etc.); 2) place
རྩ་|(PN) Rca, a place name
རྩར་|(Postp) before, in front of (+ GEN)
རྩལ་|physical skills
རྩིག་|(TR) to built, to erect\nv1 རྩིག་ v2 བརྩིགས་ v3 བརྩིག་ v4 རྩིགས་
བརྩིགས་|see རྩིག་
བརྩིག་|see རྩིག་
རྩིགས་|see རྩིག་
རྩིག་པ་|wall
རྩིས་|divination
རྩེ་|(INTR) to play\nv1 རྩེ་ v2 རྩེས་ v3 རྩེ་ v4 རྩེས་
རྩེས་|see རྩེ་
རྩེས་|see རྩེ་
རྩེ་|summit
རྩེ་མོ་|summit
རྩེའུ་|thorn
རྩོག་པ་|dirty
རྩོག་རྩོག་པ་|completely nasty, messed
རྩོད་|(TR) to argue, to debate (about + DAT)\nv1 རྩོད་ v2 བརྩད་ v3 རྩོད་ v4 རྩོད་
བརྩད་|see རྩོད་
རྩོད་པ་|conflict
རྩོམ་|(TR) to plan, to commence\nv1 རྩོམ་ v2 བརྩམས་ v3 བརྩམ་ v4 རྩོམས་
བརྩམས་|see རྩོམ་
བརྩམ་|see རྩོམ་
རྩོམས་|see རྩོམ་
རྩྭ་ཁ་|grass
སྩལ་|see སྩོལ་
སྩོལ་|(HON) to give, to bestow; བཀའ་སྩོལ་ (HON) to speak, to order\nv1 སྩོལ་ v2 སྩལ་ v3 སྩལ་ v4 སྩོལ་
སྩལ་|see སྩོལ་
སྩལ་|see སྩོལ་
བརྩད་|see རྩོད་
བརྩམས་|see རྩོམ་
བརྩིགས་|see རྩིག་
བརྩེ་|(INTR) to love
བརྩོན་འགྲུས་|effort; diligence

ཚ་|hot
ཚ་|see ཚྭ་
ཚ་ལེ་|alum
ཚགས་|see s.v. བྱེད་
ཚང་|den
ཚད་|(N) all
ཚད་མེད་པ་|immeasurable
ཚབས་|very great
ཚལ་|forest
ཚལ་བ་|splinter
ཚིག་|word
ཚིམ་པ་|satisfied
ཚུགས་|(TR) to harm
ཚུགས་|see འཚུགས་
ཚུད་|see འཚུད་
ཚུར་|here, hither
ཚུལ་|way, manner
ཚུལ་དུ་|(Postp) like ( + GEN)
ཚེ་|1) time; 2) life
ཚེ་དང་ལྡན་པ་|elder, venerable (a title)
ཚེ་འཛུགས་|she-goat
ཚེ་སྲོག་|life
ཚེས་|day
ཚོགས་|crowd, troop
ཚོགས་|see འཚོགས་
ཚོང་|trade
ཚོད་|the right amount / measure
ཚོན་|paint
ཚོར་|(TR) to recognise, to perceive
ཚོལ་|see འཚོལ་
ཚོལ་བ་|search
ཚྭ་|salt
མཚན་|1) (HON for མིང་) name; 2) characteristic mark, sign
མཚམས་སུ་|(Postp) between (+ ABS)
མཚར་བ་|beautiful
མཚོ་|lake
འཚང་|(INTR) to recover, to wake up\nv1 འཚང་ v2 སངས་ v3 འཚང་ v4 འཚང་
སངས་|see འཚང་
འཚལ་|(TR) to wish; ཕྱག་འཚལ་ to pay homage
འཚུགས་|(INTR) to be settled / established\nv1 འཚུགས་ v2 ཚུགས་ v3 འཚུགས་ v4 འཚུགས་
ཚུགས་|see འཚུགས་
འཚུད་|(INTR) to enter\nv1 འཚུད་ v2 ཚུད་ v3 འཚུད་ v4 འཚུད་
ཚུད་|see འཚུད་
འཚེ་|(TR) to hurt\nv1 འཚེ་ v2 བཙེས་ v3 བཙེ་ v4 འཚེ་
བཙེས་|see འཚེ་
བཙེ་|see འཚེ་
འཚོ་|(INTR) to remain alive; to recover (from illness)\nv1 འཚོ་ v2 སོས་ v3 འཚོ་ v4 སོས་
སོས་|see འཚོ་
སོས་|see འཚོ་
འཚོ་|(TR) 1) to take care; 2) to tend; སྲིད་འཚོ་ to rule a dominion\nv1 འཚོ་ v2 བསོས་ v3 བསོ་ v4 འཚོ་
བསོས་|see འཚོ་
བསོ་|see འཚོ་
འཚོགས་|(INTR) to gather\nv1 འཚོགས་ v2 ཚོགས་ v3 འཚོགས་ v4 ཚོགས་
ཚོགས་|see འཚོགས་
ཚོགས་|see འཚོགས་
འཚོད་|(TR) to cook, to roast, to brew\nv1 འཚོད་ v2 བཙོས་ v3 བཙོ་ v4 ཚོས་
བཙོས་|see འཚོད་
བཙོ་|see འཚོད་
ཚོས་|see འཚོད་
འཚོལ་|(TR) 1) to get, to obtain; 2) to search\nv1 འཚོལ་ v2 བཙལ་ v3 བཙལ་ v4 ཚོལ་
བཙལ་|see འཚོལ་
བཙལ་|see འཚོལ་
ཚོལ་|see འཚོལ་

མཛངས་|wise
མཛད་|(HON for བྱེད་; TR) to do; to act (as + ABS); སྐྱབས་མཛད་ to protect, to save; གཙོ་མཛད་ to lead, to be most prominent; བརྩོན་འགྲུས་མཛད་ to strain oneself\nv1 མཛད་ v2 མཛད་ v3 མཛད་ v4 མཛོད་
མཛོད་|see མཛད་
མཛད་པ་|(HON) deed
མཛའ་བོ་|lover
མཛུབ་མོ་|fore-finger
མཛེ་|leprosy
མཛེས་པ་|(PN) Mȷes-pa
མཛེས་སེ་|(PN) Mȷes-se
མཛོ་|mȷo, a hybrid between yak and domestic cattle
མཛོད་|cache, repository
མཛོད་|see མཛད་
འཛད་|(INTR) 1) to be consumed; to disappear; 2) to run out; མ་ཟད་ not only\nv1 འཛད་ v2 ཟད་ v3 འཛད་ v4 འཛད་
ཟད་|see འཛད་
འཛམ་བུ་གླིང་|continent (Skt. Jambūdvīpa, name of the Indian continent in Buddhist cosmology)
འཛིན་|(TR) 1) to seize, to grasp, to hold; to take over; 2) to take sth. (DAT) as (TERM); ཡིད་ལ་འཛིན་ to take to [one’s] mind\nv1 འཛིན་ v2 བཟུང་ v3 གཟུང་ v4 ཟུངས་
བཟུང་|see འཛིན་
གཟུང་|see འཛིན་
ཟུངས་|see འཛིན་
འཛུགས་|(TR) to place\nv1 འཛུགས་ v2 བཙུགས་ v3 གཟུགས་ v4 ཟུགས་
བཙུགས་|see འཛུགས་
གཟུགས་|see འཛུགས་
ཟུགས་|see འཛུགས་
འཛེམ་མེད་|one having no shame
རྫ་|silt
རྫས་|object
རྫིའུ་|herdsman
རྫུ་འཕྲུལ་|magic tricks, miracles

ཝ་རོ་|fox cadaver

ཞག་|day
ཞང་མདའ་|(PN) Źaṅ-mdaɣ
ཞང་པོ་|maternal uncle
ཞང་ཞུང་|(PN) Źaṅ-źuṅ, name of an ancient polity
ཞན་པ་|ordinary
ཞབས་|(HON for རྐང་པ་) foot
ཞལ་|(HON for ཁ་) mouth
ཞལ་ཆེ་|judgement
ཞལ་ཆེ་པ་|judge
ཞལ་ཆེམས་|(HON for ཁ་ཆེམས་) testament
ཞལ་འཛུམ་|(HON) smile
ཞི་|(INTR) to be calm
ཞིང་|field
ཞིང་སྐལ་|field-share
ཞིང་པ་|peasant
ཞིང་ལས་|field-work
ཞིབ་པ་|exact
ཞིབ་པར་|minutely
ཞུ་|(HML for ཟེར་ / སྨྲ་) 1) to speak; 2) to ask\nv1 ཞུ་ v2 ཞུས་ v3 ཞུ་ v4 ཞུ་
ཞུས་|see ཞུ་
ཞུགས་|see འཇུག་
ཞུགས་|(HON for མེ་) fire
ཞུས་|see ཞུ་
ཞེ་སྡང་|hatred
ཞེན་|(INTR) 1) to fix, to penetrate; 2) to long for (+ DAT)
ཞེས་པ་ལྟར་|as the so-called
གཞན་|1) (A) other; foreign; 2) (N) the other
གཞན་དུ་|differently
གཞན་ཡང་|furthermore
གཞི་|cause
གཞི་མ་|foundation
གཞུང་|middle
གཞུན་པོ་|excellent
གཞོན་|young
གཞོན་ནུ་|1) (N) a youth ; 2) (A) young
བཞག་|see འཇོག་
བཞམས་|(TR) to calm down, appease
བཞི་|four
བཞི་བཅུ་|fourty
བཞིན་|face
བཞིན་|(Postp) according to, in accordance with; like (+ ABS)
བཞིན་དུ་|(Postp) according to; like (+ ABS)
བཞུགས་|(HON for འདུག་; INTR) 1) to stay, abide; to sit; 2) to be alive
བཞུས་|see འཇུ་
བཞེངས་|(HON; INTR) to rise, get up
བཞེས་|(HON for ལེན་; TR) to take; ཐུགས་ཉམས་སུ་བཞེས་ to experience, to practise
བཞོན་པ་|riding-beast

ཟ་ v2 བཟས་|(TR) to eat; ཟན་ཟ་ (INTR) to eat
ཟོས་ v3 བཟའ་ v4 ཟོ་|(TR) to eat; ཟན་ཟ་ (INTR) to eat
ཟ་ v2 བཟས་|(TR) to eat; ཟན་ཟ་ (INTR) to eat
ཟོས་ v3 བཟའ་ v4 ཟོས་|(TR) to eat; ཟན་ཟ་ (INTR) to eat
ཟ་ནམ་ཟིན་ཏེ་|(PN) Za-nam-zin-te
ཟངས་|copper
ཟངས་རྡོ་|copper-ore
ཟད་|see འཛད་
ཟད་པར་|completely
ཟན་|food
ཟབ་པ་|(to be) deep
ཟབ་མོ་|profound
ཟ་རི་ཟི་རི་|confused
ཟར་རི་ཟིར་རི་|confused
ཟས་|food
ཟས་གཙང་མ་|(PN) Zas-gcaṅ-ma (Skt. Śuddhodana)
ཟིན་|(INTR) 1) to be seized with, to be taken over by (+ ERG); 2) to finish
ཟིལ་པ་|dew
ཟུག་རྔུ་|grief
ཟུངས་|see འཛིན་
ཟུར་|outline
ཟུར་ནས་|(Adv) for one’s part
ཟེར་|(TR) 1) to say; 2) to call
ཟེར་བ་|saying
ཟོ་|see ཟ་
ཟོ་དང་གོང་པོ་རི་|(PN) Zo-daṅ-goṅ-po-ri
ཟོས་|see ཟ་
ཟླ་བ་|month
ཟླ་བ་|(PN) Zla-ba
གཟིགས་|(HON for མཐོང་ / ལྟ་; TR) 1) to see; to look (at / in + DAT); 2) to regard
གཟིར་|(INTR) 1) to be pained, to suffer; 2) to be harassed, troubled
གཟུག་|quarter share
གཟུགས་|1) body; 2) shape
གཟུགས་ཅན་སྙིང་པོ་|(PN) Gzugs-čan-sñiṅ-po (Skt. Bimbisāra)
གཟེ་རུ་ |small nail
གཟེར་|nail
གཟེར་བུ་|small nail
བཟང་|(to be) good
བཟང་པོ་|excellent, good
བཟའ་བ་|food
བཟའ་མི་|husband and wife
བཟུང་|see འཛིན་

འ་ཅི་|(PN) Ɣa-či, name of an ancient polity in Central Asia
འུ་ཅག་|(1PL) we
འུ་བུ་ཅག་|(1PL) we
འུམ་བུ་གླང་མཁར་|(PN) Ɣum-bu-glaṅ-mkhar
འོ་སྐོལ་|(1PL) we
འོ་བརྒྱལ་|difficulty, trouble
འོ་ཅག་|(1PL) we
འོ་ན་|(Intrj) well; now then
འོ་མ་|milk
འོ་ལགས་སོ་|very well, all right
འོག་|1) nether sphere; 2) ground floor
འོག་ཏུ་|(Postp) after (+ GEN)
འོག་ན་|1) (Adv) below, underneath; 2) (Postp) below (+ GEN)
འོང་|(INTR) 1) to come; 2) to become, to be; ལེགས་པར་འོངས་སོ་ lit. “[You] have arrived well” (an official greetings formula of an admission to the Buddhist order)\nv1 འོང་ v2 འོངས་ v3 འོང་ v4 འོང་
འོངས་|see འོང་
འོངས་|see འོང་
འོད་|light
འོད་ཟེར་|ray
འོན་ཏེ་|or if not, or else, or also
འོར་མ་|(PN) Ɣor-ma
འོས་|(INTR) to be suitable

ཡང་|(Adv) 1) again; 2) still, more; 3) further
ཡང་དག་|really
ཡང་ན་|or
ཡང་ཡང་|again and again
ཡན་|(Postp) up to (+ ABS)
ཡན་ལ་|(Postp) till (+ ABS)
ཡན་ལག་|limb
ཡབ་|(HON for ཕ་) father
ཡབ་མེས་|ancestors
ཡབ་ཡུམ་|(HON for ཕ་མ་) 1) father and mother; 2) parents
ཡར་|up, upward
ཡར་ལུངས་|(PN) Yar-luṅs, historical region in Central Tibet
ཡར་ལྷ་ཤམ་པོ་|(PN) Yar-lha-śam-po, name of a mountain and its mountain deity
ཡལ་|(INTR) to disappear
ཡི་|mind; see ཡིད་
ཡི་གེ་|(written) text; letter
ཡི་དགས་|hungry ghost
ཡི་མུག་|(INTR) to despair, to be tormented
ཡིག་ཚང་|document
ཡིད་|1) mind; 2) heart
ཡིན་|(COP) to be
ཡུག་|piece of cloth
ཡུང་བ་|turmeric
ཡུན་|time
ཡུན་རིང་དུ་|(Adv) for a long time
ཡུམ་|(HON for མ་) mother
ཡུར་|channel
ཡུལ་|region, country, land
ཡུལ་ཁམས་|country
ཡུལ་མི་|countryman
ཡུས་|blame
ཡོང་|(INTR) to come\nv1 ཡོང་ v2 ཡོངས་ v3 ཡོང་ v4 ཡོང་
ཡོངས་|see ཡོང་
ཡོངས་སུ་འགྲོལ་|(INTR) to become absolutely free\nv1 ཡོངས་སུ་འགྲོལ་ v2 གྲོལ་ v3 ཡོངས་སུ་འགྲོལ་ v4 ཡོངས་སུ་འགྲོལ་
གྲོལ་|see ཡོངས་སུ་འགྲོལ་
ཡོངས་སུ་ལེན་|see ལེན་
ཡོད་|(COP) 1) to be, to exist; 2) to have
ཡོན་ཏན་|1) (excellent) quality, virtue; 2) good skill
ཡོན་ཏན་ཅན་|excellent
ཡོས་|hare
གཡག་|yak
གཡང་|prosperity, fortune
གཡའ་|slate
གཡར་|1) (TR) to borrow; 2) loan
གཡས་|(A) right
གཡུ་|turquoise
གཡུང་དྲུང་|(PN) G.yuṅ-druṅ, school of Bon religion
གཡོག་|servant
གཡོག་|(TR) to cover\nv1 གཡོག་ v2 གཡོགས་ v3 གཡོག་ v4 གཡོག་
གཡོགས་|see གཡོག་
གཡོག་མོ་|female servant
གཡོགས་|see གཡོག་
གཡོན་|left

ར་|goat
ར་མདའ་|help
རང་|1) self; itself; 2) own; 3) merely
རང་|(INTR) to rejoice; རྗེས་སུ་ཡི་རང་ to rejoice; ཡི་རང་ to rejoice, to be happy (about + DAT)\nv1 རང་ v2 རངས་ v3 རང་ v4 རང་
རངས་|see རང་
རང་ཉིད་|1) just; 2) oneself
རང་རེ་|(1PL INCL) we
རང་ལས་|one’s own worker
རངས་|see རང་
རན་|(INTR) to be right (to do sth. + v3 )
རབ་|1) the eldest; 2) the best; 2) eldest;
རབ་ཏུ་|very
རབ་ཏུ་བྱེད་པ་|chapter (Skt. prakaraṇa)
རབ་བྱུང་|a cycle of sixty years
རལ་གྲི་|sword
རལ་པ་|lock
རལ་བ་|torn
རས་|cotton cloth
རས་ཆུང་པ་|(PN) Ras-čhuṅ-pa
རི་|mountain
རི་དྭགས་|animals
རི་བོ་|mountain
རི་བོང་|hare
རི་མོ་|picture
རི་རབ་|(PN) Ri-rab, a mountain in Indian cosmology (Skt. Sumeru)
རི་ལུ་ |globula, pill
རིག་གནས་|science
རིག་པ་|knowledge
རིག་འཛིན་|knowledge holder (Skt. vidyādhara)
རིགས་|1) family, lineage; race; state; 2) kind
རིགས་|(INTR) 1) to have the way, manner, to be suitable / right / appropriate (+ GEN / TERM); 2) (MOD) must
རིགས་རྒྱུད་|race
རིགས་ངན་|hangman
རིགས་མཐུན་|of one breed, lit. agreeing in kind
རིགས་པ་|method
རིང་|(INTR) to be long\nv1 རིང་ v2 རིངས་ v3 རིང་ v4 རིང་
རིངས་|see རིང་
རིང་པོ་|1) long; 2) far away
རིང་པོར་|(Adv) long
རིང་ཞིག་|long time
རིང་ཞིག་ཏུ་|(Adv) for a long time
རིང་ལ་|(Postp) when, during (+ ABS)
རིད་པ་|(to be) meagre, emaciated
རིན་ཆེ་|see རིན་པོ་ཆེ་
རིན་པོ་ཆེ་|(N) jewel, precious stone; (A) precious
རིམ་གྱིས་ |successively, in a row
རིམ་པ་|row
རིམ་པར་|in succession
རིམས་|plague
རིལ་བ་|round
རིལ་བུ་|globula, pill
རུ་ལ་སྐྱེས་|(PN) Ru-la-skyes
རུང་|(INTR) to be suitable; to be worth
རུས་པ་|bone
རུས་བུ་|small bone
རེ་|(DET) each, every; single
རེ་|(TR) to wish
རེ་རེ་ནས་|individually
རེས་|once
རོ་|body, corpse
རོག་པོ་|black
རོད་|constitution
རྭ་|horn
རློན་པ་|fresh
རློབ་|བྱིན་གྱིས་རློབ་ (TR) to bless, to grant (one’s) blessing\nv1 རློབ་ v2 བརླབས་ v3 བརླབ་ v4 རློབས་
བརླབས་|see རློབ་
བརླབ་|see རློབ་
རློབས་|see རློབ་
བརླབས་|see རློབ་

ལག་|hand, arm
ལག་པ་|hand, arm
ལག་མགོ་|fist
ལག་བཅུད་ཆེ་|excellent housewife (contextual translation)
ལག་དཔོན་|constructor
ལགས་|(HON for ཡིན་; COP) to be
ལགས་|(HON address) dear
ལང་|(INTR) to rise, stand up\nv1 ལང་ v2 ལངས་ v3 ལང་ v4 ལང་
ལངས་|see ལང་
ལངས་|see ལང་
ལན་|time, turn
ལན་འགའ་|sometimes
ལན་ཅིག་ཕྱིར་མི་ལྡོག་པ་|lit. one who does not come back again (Skt. anāgāmin)
ལབ་|gossip
ལམ་|road, way
ལར་|but
ལས་|1) work; 2) (previous) action (Skt. karman)
ལས་ཀ་ |work
ལས་བསྐོས་|fate
ལིངས་|hunting
ལུག་|sheep
ལུ་གུ་|lamb
ལུག་གུ་|lamb
ལུག་ཟླ་|sheep-month
ལུགས་|tradition
ལུང་|prophecy
ལུང་རིངས་|(PN) Luṅ-riṅs, a place name
ལུས་|1) body; 2) life
ལུས་|(INTR) to be remaining, left
ལུས་སྟོབས་|physical strength
ལུས་མེད་པར་|completely, lit. so that there are no remains
ལུས་སྲོག་|body and life
ལེགས་|(to be) good
ལེགས་|(PN) Legs, name of a Tibetan dynasty
ལེགས་པ་|1) good, correct; 2) good deed
ལེགས་པར་|well
ལེགས་པར་བཤད་པ་|aphorism, lit. well-said-one
ལེགས་བཤད་|see ལེགས་པར་བཤད་པ་
ལེན་ v2 བླངས་ v3 བླང་ v4 ལོང་|(TR) 1) to obtain; to accept; 2) to take; 3) to take away; 4) to attract; ཡོངས་སུ་ལེན་ to accept
ལེན་ v2 བླངས་ v3 བླང་ v4 ལོངས་|(TR) 1) to obtain; to accept; 2) to take; 3) to take away; 4) to attract; ཡོངས་སུ་ལེན་ to accept
ལེའུ་|chapter
ལོ་|year
ལོ་རྒྱུས་|account; life story
ལོ་ཐོག་|harvest, crop
ལོ་མ་|leaf
ལོག་|(INTR) to turn; གཉིད་ལོག་ to fall asleep
ལོང་|see ལེན་
ལོང་ངམ་|see ལོང་ངམ་རྟ་རྫི་
ལོང་ངམ་རྟ་རྫི་|(PN) Loṅ-ṅam-rta-rȷi
ལོང་བ་|blind
ལོངས་སྤྱོད་|(TR) to use
ལོན་|(INTR) to elapse, to pass (of time + ABS)

ཤ་|1) flesh, meat; 2) body
ཤ་ཀོ་ཏ་ཀ་|a tree species (Skt. śākhoṭaka)
ཤ་བཀྲག་|body-beauty
ཤ་ཁོག་|body of a slaughtered animal
ཤ་ཁྲི་|(PN) Śa-khri
ཤན་|difference
ཤམ་ཐབས་|lower garment
ཤར་|see འཆར་
ཤི་|see འཆི་
ཤིག་སྲོ་|louse and nit
ཤིང་|1) wood; 2) tree
ཤིང་མཁན་|carpenter
ཤིང་རྟ་|chariot
ཤིང་རྟ་ཆེན་པོ་|(PN) Śiṅ-rta-čhen-po
ཤིང་ཐོག་|fruit (of trees)
ཤིང་ནགས་|forest
ཤིང་ལོ་|tree-leaf
ཤིན་ཏུ་|very
ཤུགས་རིང་|sigh
ཤུལ་|empty place
ཤེས་|(TR) 1) to know, be aware of; 2) to recognise, to realise; (MOD) to be able, capable; can; ངོ་ཤེས་ to realise, to recognise
ཤེས་པ་ |intelligent
ཤེས་བྱ་|subject matter of knowledge
ཤེས་རབ་|understanding, wisdom
ཤེས་རབ་ལྡན་པ་|sage
ཤེས་རིག་|knowledge
ཤོག་|see གཤེགས་
ཤོམ་|(TR) to prepare\nv1 ཤོམ་ v2 བཤམས་ v3 བཤམ་ v4 ཤོམས་
བཤམས་|see ཤོམ་
བཤམ་|see ཤོམ་
ཤོམས་|see ཤོམ་
ཤོས་|the other (of two)
ཤཱཀྱ་ཐུབ་པ་|(PN) Śākyamuni
ཤཱཀྱ་རི་བྲག་པ་|(PN) Mountain-Śākya
གཤའ་མ་|righteous
གཤེ་|(INTR) to inveigh (against + DAT)\nv1 གཤེ་ v2 གཤེས་ v3 གཤེ་ v4 གཤེ་
གཤེས་|see གཤེ་
གཤེགས་|(HON for འོང་ / འགྲོ་; INTR) to come, to go\nv1 གཤེགས་ v2 གཤེགས་ v3 གཤེགས་ v4 ཤོག་
ཤོག་|see གཤེགས་
གཤེགས་རྫོངས་|(HON) farewell ceremony
གཤེན་རབ་མི་བོ་|(PN) Gśen-rab-mi-bo, a legendary founder of the Bon religion
གཤོལ་|plough
བཤད་|see འཆད་
བཤམ་|see ཤོམ་
བཤིག་|see འཇིག་
བཤེས་གཉེན་|spiritual friend (Skt. kalyāṇamitra)

ས་|1) earth; 2) place; 3) ground; 4) terrestrial sphere
ས་ག་|(PN) name of a lunar mansion (Skt. vaiśākha)
ས་རྟ་|Earth-Horse (year)
ས་ཕུང་|mass of soil
ས་བོན་|seeds
ས་རི་|(PN) name of a lunar mansion (Skt. svātī)
སངས་|see འཚང་
སངས་རྒྱས་|Buddha
སད་|(INTR) to wake up; གཉིད་སད་ to wake up
སུ་|(INT) who?
སུ་ཡང་|anybody
སུམ་ཅུ་|thirty
སུམ་ཅུ་དགུ་པ་|thirty-ninth
སེ་|nugget
སེ་གོལ་|snapping one’s fingers
སེ་སྣོལ་ནམ་ལྡེ་|(PN) Se-snol-nam-lde
སེ་འུ་|pomegranate
སེང་གེ་|lion
སེང་སེང་|thin
སེམས་|1) (TR) to think (about / of + DAT as + TERM); སྙམ་སེམས་ to think; 2) .1) mind; 2) thought; 3) heart\nv1 སེམས་ v2 བསམས་ v3 བསམ་ v4 སོམས་
བསམས་|see སེམས་
བསམ་|see སེམས་
སོམས་|see སེམས་
སེམས་ཅན་|living / sentient being
སེམས་ཅན་ཆེན་པོ་|(PN) Sems-čan-čhen-po
སེམས་ཅན་དམྱལ་བ་|hell
སེམས་ཆུང་|timid
སེམས་གསོ་|consolation
སེར་ག་|crack, fissure
སེར་པོ་|yellow
སེལ་བ་|(TR) to clean away
སོ་ནམ་|agriculture
སོ་|1) tooth; 2) tooth
སོ་ཁྲི་བཙན་པོ་|(PN) So-khri-bcan-po
སོ་སྒྲ་|whistling through the teeth
སོ་ནམ་|agriculture
སོ་བ་|unhusked barley
སོ་མ་|new
སོ་ཚིས་|housekeeping
སོ་སོ་|everyone
སོ་སོ་ནས་|individually
སོ་སོར་|separately
སོག་|see གསོག་
སོག་ཁ་|scapula
སོགས་|and so forth; such as, including, among others (+ DAT / ABS)
སོང་|see འགྲོ་
སོལ་བ་|charcoal
སོས་|see གསོ་
སྲན་མ་|beans
སྲས་|(HON for བུ་) son
སྲིང་མོ་|sister
སྲིད་|1) (COP) 1) to exist, to be; 2) to be possible, to be able; 2) (N) dominion
སྲིད་པ་|existence
སྲིད་གསུམ་|triple world
སྲིན་པོ་|demon
སྲིན་མོ་|demoness
སྲིབ་ཁྲི་བཙན་པོ་|(PN) Srib-khri-bcan-po
སྲུང་|(TR) to guard, to protect\nv1 སྲུང་ v2 བསྲུངས་ v3 བསྲུང་ v4 སྲུངས་
བསྲུངས་|see སྲུང་
བསྲུང་|see སྲུང་
སྲུངས་|see སྲུང་
སྲེག་|(TR) to burn\nv1 སྲེག་ v2 བསྲེགས་ v3 བསྲེག་ v4 སྲེགས་
བསྲེགས་|see སྲེག་
བསྲེག་|see སྲེག་
སྲེགས་|see སྲེག་
སྲོག་|life
སྲོག་ཆགས་|living / animated being, animal
སླ་བ་|easy
སླད་|back part; སླད་བཞིན་པར་ behind
སླད་དུ་|(Postp) on account of; in order to (+ GEN)
སླར་|(Adv) back
སླས་|retinue
སླུ་|(TR) to entice, to deceive, to bewitch\nv1 སླུ་ v2 བསླུས་ v3 བསླུ་ v4 སླུས་
བསླུས་|see སླུ་
བསླུ་|see སླུ་
སླུས་|see སླུ་
སློང་|(TR) 1) to ask, to order; 2) to beg\nv1 སློང་ v2 བསླངས་ v3 བསླང་ v4 སློངས་
བསླངས་|see སློང་
བསླང་|see སློང་
སློངས་|see སློང་
སློངས་|begging
སློབ་|(TR) to learn, to study\nv1 སློབ་ v2 བསླབས་ v3 བསླབ་ v4 སློབས་
བསླབས་|see སློབ་
བསླབ་|see སློབ་
སློབས་|see སློབ་
སློབ་དཔོན་|teacher
གསད་|see གསོད་
གསན་|(HON for ཉན་; TR) to hear, to listen; སྙན་གསན་ to listen
གསལ་|(to be) clear, visible
གསལ་རྒྱལ་|(PN) Gsal-rgyal (Skt. Prasenajit)
གསུང་|(HON for ཟེར་ / སྨྲ་; TR) to speak, to say, to proclaim\nv1 གསུང་ v2 གསུངས་ v3 གསུང་ v4 གསུང་
གསུངས་|see གསུང་
གསུང་ངག་|(HON for ངག་) wording
གསུངས་|see གསུང་
གསུམ་|three
གསུམ་ཀ་|a trio, the three
གསུམ་པ་|a few
གསུམ་པོ་|a trio, a group of three
གསེར་|gold
གསོ་|(TR) 1) to take care; to train; 2) to rear, to nourish; 3) to cure; to restore; ངལ་གསོ་ to rest, to take a rest; སེམས་གསོ་ to console\nv1 གསོ་ v2 གསོས་ v3 བསོ་ v4 སོས་
གསོས་|see གསོ་
བསོ་|see གསོ་
སོས་|see གསོ་
གསོག་|(TR) to gather\nv1 གསོག་ v2 བསགས་ v3 བསག་ v4 སོགས་
བསགས་|see གསོག་
བསག་|see གསོག་
སོགས་|see གསོག་
