ka kha 	alphabet
snga rol 	past ages
sngag  v2 {bsngags} v3 {bsngag} v4 {sngog}({sa}){}	(TR) to praise
sngags 	mantra
sngar 	1) (A) 1) earlier; 2) before, ahead; 2) (N) the past
sngar phan 	until recently
sngas mgo 	pillow
sngo 	green
sngon 	earlier
brnga 	see rnga 
bsngags 	see sngag 

cang 	any, any thing, anyone
ci 	(INT) what? (REL) which
ci ltar 	(INT) how? (REL) how (also {ji ltar})
ci 'dra 	(INT / REL) how; (REL) whatever
ci tsam 	(INT) how much?; (REL) so much
ci'i phyir 	(INT) why?
cung zad 	a little, a bit
gcags 	(INTR) to love
gcad 	see gcod 
gcig 	one
gcig tu na 	firstly
gcig pa 	(A) only
gcig pu 	1) sole; 2) alone
gcig po 	(A) only
gcog  v2 {bcag} v3 {gcag} v4 {chog}({sa}){}	(TR) to break; to knock out
gcod  v2 {bcad} v3 {gcad} v4 {chod}	(TR) 1) to cut; 2) to decide; {zhal che gcod} to pass a judgement
bcag 	see gcog 
bcas 	accompanied by, possessed of, together with (+ COM)
bcas 	see 'cha' 
bcings 	see 'ching 
bcu 	ten
bcug 	see 'jug 
bco brgyad 	eighteen
bco lnga 	fifteen
bcom 	see 'joms 
bcom ldan 'das 	the Victorious One (Skt. bhagavant), an epithet of Buddha
bcol 	see 'chol 
bcol gtams 	trust
bcos 	see 'chos 
bcos ma 	artificial
lcag 	a blow, a hit
lcags 	iron
lcags rdo 	iron-stone
lcags phye 	iron filing
lce 	tongue
lcogs 	(INTR) to be possible

cha 	part
cha lugs 	appearance
cha shas 	portion
chag 	see 'chag 
chags 	(INTR) to be attached (to + DAT)
chags 	(INTR) to arise
chags pa 	1) love; 2) passion
chang 	beer
chang tshong 	tavern
chang tshong ma 	beer-seller (F)
chad 	see 'chad 
chad pa 	begotten / born from (+ DEL)
chab srid 	dominion
char 'dod bye 'u 	cātaka-nestling
chas 	1) garment, clothes; 2) form, appearance
chibs  	(HON for {rta}) horse
chibs kha 	briddle
chu 	1) water; 2) river
chu klung 	river
chu sdor 	meat
chu bo 	river
chug 	see 'jug 
chung 	(to be) small, young
chung ngu 	1) (N) 1) the youngest; 2) childhood; 2) (A) small
chung gnyen 	child-marriage
chung ma 	wife
chung shos 	the youngest
chud gsan 	(TR) to waste
che ba 	(to be) great; {tshabs che ba} very great
chen po 	1) great; 2) big, large, vast
cho nges 	lamentation
chog 	see gcog 
chog 	(MOD) to be allowed, permitted
chod 	(INTR) to be decided; {kho thag chod} to be certain
chod 	see gcod 
chos 	1) Buddhist teaching, Dharma (Skt. dharma); 2) religious teaching; 3) thing, being, anything that exists
chos gos 	monk-robe
chos rgyal 	Dharma-king
chos pa 	follower of Dharma
chos 'byung 	lit. origins of Buddhism; name of a literary genre
mchi 	(HML; TR) to speak
mchi  v2 {mchis}	(HML for {'ong} / {'gro}; INTR) 1) to come; 2) to go
mchi ma 	tears
mchims bza' 	lady from the Mčhims family
mchis 	see mchi 
mchis 	(HML for {yod}) to be there
mched 	(HON) brother
mchog 	the most excellent
mchog tu  	very
mchong({sa}){}	(INTR) to jump
mchod 	(TR) to worship
mchod rten 	shrine (Skt. stūpa)
mchod pa 	1) offering; 2) honours
'chag 	(INTR) to walk
'chag  v2 {chag}	(INTR) to break
'chad  v2 {chad}	(INTR) 1) to be cut (off; into pieces); 2) to be separated; 3) to be decided / determined
'chad  v2/v3 {bshad} v4 {shod}	(TR) 1) to explain; 2) to relate
'cham 	(TR) to agree (upon + DAT); {kha 'cham} to agree
'cha'  v2 {bcas} v3 {bca'} v4 {chos}	(TR) to place (on + DAT)
'char  v2 {shar}	(INTR) to rise
'char byed 	(PN) Ɣčhar-byed (Skt. Udayana)
'chi  v2 {shi}	(INTR) to die
'ching  v2 {bcings} v3 {bcing} v4 {chings}	(TR) to bind
'chor  v2 {shor}	(INTR) to get lost, to perish; {mchi ma 'chor} (TR / NC) to shed tears
'chol  v2/v3 {bcol} 	(TR) 1) to appoint, to make; 2) to entrust (to + DAT)
'chos  v2 {bcos} v3 {bco} v4 {chos}	(TR) to make, to prepare

ji 	see ci 
ji ltar 	see ci ltar 
jo bo 	lord, master
jo mo 	1) goddess; 2) lady
mjug 	hind part
mjug ma 	tail
'jang 	(PN) name of an ancient people
'jam 	(to be) soft
'jam pa 	mild, gentle
'jam dpal gzhon nur gyur pa 	(PN) Ɣǰam-dpal-gźon-nur-gyur-pa, lit. Mañjuśrī who became a youth (Skt. Kumārabhūtamañjuśrī)
'ja' 	rainbow
'ja' tshon 	rainbow
'jal  v2 {bcal} v3 {gzhal} v4 {'jol}	(TR) to measure out
'jig  v2 {zhig}	to perish
'jig  v2 {bshig} v3 {gzhig} v4 {shig}	(TR) to waste, to annihilate
'jig rten 	world
'jig rten pa 	folk, inhabitants of the world
'jig pa 	decay
'jigs 	(INTR) to fear
'ju  v2 {'jus}	(TR) 1) to seize, to grasp; 2) to embrace
'ju  v2 {bzhus} v3 {bzhu}	(TR) to melt
'jug  v2 {zhugs}	(INTR) to enter
'jug  v2 {bcug} v3 {gzhug} v4 {chug}	(TR) 1) to put into; 2) to lead to; 3) to order; (CAUS) to cause, to let
'jus 	see 'ju 
'jog  v2 {bzhag} v3 {gzhag} v4 {zhog}	(TR) 1) to leave, to leave behind; 2) to lay down
'joms  v2 {bcom} v3 {gzhom} v4 {chom}	(TR) to conquer
rje 	lord, ruler
rjes 	1) (N) step, trace; 2) (Postp) after, behind (+ ABS)
rjes su 	(Postp) after (+ GEN); see rang 
rjod  v2/v3 {brjod}	(TR) to say

nya khri 	(PN) Ña-khri
nyag 	lump
nyang chu skya mo 	(PN) Ñaṅ-čhu-skya-mo, name of a river
nyang po 	(PN) Ñaṅ-po, a historical region in Tibet
nyan  v4 {nyon}	(TR) to listen, to hear
nyan gyi rna gsang ma 	(PN) Ñan-gyi-rna-gsaṅ-ma
nyam chung 	(to be) weak
nyams 	(INTR) to be / get hurt
